2 10 2 A
10 5 3 B
-5 -10 4 C
-10 2 4 D
printing prime 3 particelle: 
-9.19 -9.44 7 0.57
-2.4 -9.05 -7 0.24
-13.22 0.24 5 0.22
printing ultime 3 particelle: 
-12.36 -3.03 4 0.69
-7.81 6.68 -1 0.33
7.68 7.02 -5 0.79


descrizione particelle dentro cerchio A:
3.82 9.54 -3 0.56
0.98 10.84 0 0.79
3.8 9.17 -4 0.76
2.44 8.64 5 0.87
3.16 8.4 -2 0.59
2.58 8.8 -9 0.66
1.88 9.04 -6 0.79
1.17 9.68 -3 0.43
1.95 8.87 -8 0.88
1.29 9.93 -10 0.6
2.65 10.9 -3 0.1
1.75 9.62 -2 0.42
3.32 9.94 -4 0.46
print campi lab e n_part del vettore ordinato per n_part decrescente
D 18
A 13
C 7
B 7
-13.22 0.24 5 0.22
-11 -0.24 0 0.62
-6.42 0.74 7 0.04
-7.08 4.17 7 0.06
-11.7 4.38 4 0.1
-11 5.19 -6 0
-13.58 0.9 10 0.44
-11.02 5.57 -6 0.69
-8.38 1.26 -3 0.28
-12.08 1.15 -7 0.72
-10.46 4.23 -5 0.79
-13.19 3.43 2 0.64
-7.18 0.43 -1 0.55
-9.28 1.31 -2 0.32
-7.8 4.56 9 0.41
-9.7 0.62 2 0.94
-7.7 2.7 -5 0.13
-10.04 0.68 2 0.42
3.82 9.54 -3 0.56
0.98 10.84 0 0.79
3.8 9.17 -4 0.76
2.44 8.64 5 0.87
3.16 8.4 -2 0.59
2.58 8.8 -9 0.66
1.88 9.04 -6 0.79
1.17 9.68 -3 0.43
1.95 8.87 -8 0.88
1.29 9.93 -10 0.6
2.65 10.9 -3 0.1
1.75 9.62 -2 0.42
3.32 9.94 -4 0.46
-2.4 -9.05 -7 0.24
-2.77 -8.22 8 0.31
-5.71 -13.79 3 0.99
-4.29 -12.87 -6 0.61
-7.41 -13.13 -9 0.56
-6.66 -9.71 -5 0.16
-4.42 -11.41 9 0.84
11.69 3.18 -10 0.65
10.91 6.34 2 0.64
10.06 6.9 0 0.92
7.8 6.24 -8 0.06
10.46 5.08 5 0.33
9.53 2.73 2 0.67
9.05 7.44 -10 0.69
